id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.6171450614929199,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.74438491032253,0.004227161407470703,61,5.911413672695969e-6,0.0,2302,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,max_eval,0.009459114183420369,0.15053701400756836,1595,0.004041076616470364,0.0,50026,28688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,first_order,9.573806517806676e-10,0.03873109817504883,964,2.798516365021717e-5,0.0,30247,17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,max_eval,NaN,1.4285850524902344,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BIGGS6,6,0,0,max_eval,0.02570277389454723,0.22048401832580566,1600,0.007134728201421623,0.0,50003,28674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOX3,3,0,0,max_eval,4.3335580732000184e-7,0.15827512741088867,1599,4.281849475460595e-5,0.0,50004,28669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0009591579437255859,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BRKMCC,2,0,0,first_order,0.1690426792820131,0.011853933334350586,304,2.3691184328055997e-5,0.0,9933,5847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNBS,2,0,0,max_eval,1.9436781861103946e11,0.0503230094909668,1087,8.801288504142324e9,0.0,50044,27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BROWNDEN,4,0,0,first_order,85822.20200680921,0.06791186332702637,559,2.0565667264980942,0.0,17812,10323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,CERI651ALS,7,0,0,max_eval,397.8978525217176,1.2782320976257324,1107,18462.973930551772,0.0,50020,26882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,CERI651BLS,7,0,0,max_eval,371.9192452242156,1.2084717750549316,1588,11583.87607800126,0.0,50002,28847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,CERI651CLS,7,0,0,max_eval,83.61124932309991,0.9749820232391357,1106,143557.78697580565,0.0,50045,26891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,CERI651DLS,7,0,0,max_eval,26.91440355124705,1.2088990211486816,1105,16359.23337220119,0.0,50012,26875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,CERI651ELS,7,0,0,max_eval,26.735760870784073,1.1919798851013184,1592,18.561009036329366,0.0,50043,28761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,CHWIRUT1LS,3,0,0,first_order,315417.05418285565,0.023433208465576172,19,4.83975479087017,0.0,920,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,CHWIRUT2LS,3,0,0,first_order,90498.0225186446,0.007009029388427734,22,1.3487332768727645,0.0,1013,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CLIFF,2,0,0,first_order,11396.391743805923,7.700920104980469e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CLUSTERLS,2,0,0,first_order,1.9362497029347075e-9,0.001959085464477539,43,3.5443727320633493e-6,0.0,1680,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,COOLHANSLS,9,0,0,first_order,0.049321032710356975,0.08765196800231934,1096,3.573195715888892,0.0,34419,19792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CUBE,2,0,0,max_eval,0.010547209833818063,0.0647590160369873,1139,1.0986969667048196,0.0,50040,27009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,DANIWOODLS,2,0,0,first_order,103.917818,3.0040740966796875e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,DANWOODLS,2,0,0,max_eval,NaN,0.09348392486572266,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,DENSCHNA,2,0,0,first_order,2.357412527495004e-11,0.0013349056243896484,34,6.0186611152090504e-6,0.0,1393,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,DENSCHNB,2,0,0,first_order,4.193421678391655e-13,0.0004749298095703125,22,1.2992274046036989e-6,0.0,586,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,DENSCHNC,2,0,0,first_order,0.18336246824978836,0.003178119659423828,100,0.0015362846286843131,0.0,3469,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,DENSCHND,3,0,0,first_order,7.176481115352958,0.00586390495300293,136,22.531289545966064,0.0,4833,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,DENSCHNE,3,0,0,first_order,5.507312448360038e-10,0.0022559165954589844,49,4.6937530355742384e-5,0.0,1947,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,DENSCHNF,2,0,0,first_order,1.1187290653019873e-9,0.002142190933227539,34,0.0008139003470323234,0.0,1407,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,DEVGLA1,4,0,0,max_eval,NaN,0.311460018157959,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,DEVGLA2,5,0,0,max_eval,NaN,0.35932111740112305,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,DJTL,2,0,0,max_eval,-6632.807582301949,0.07523488998413086,1105,29481.50664149893,0.0,50026,26889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,ECKERLE4LS,3,0,0,first_order,0.6996960912061057,0.00025582313537597656,3,7.057485825466091e-7,0.0,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,EGGCRATE,2,0,0,first_order,9.48819733910788,0.0008280277252197266,13,1.2879274975397468e-5,0.0,748,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,ELATVIDU,2,0,0,first_order,1.712780471505855,0.0018410682678222656,46,0.011204749618159678,0.0,1795,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,ENGVAL2,3,0,0,max_eval,0.0007531362288330234,0.061846017837524414,1599,0.02569351246275744,0.0,50018,28678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,ENSOLS,9,0,0,first_order,788.5397866737407,1.559110164642334,430,0.0003497260134803514,0.0,14161,8276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,EXP2,2,0,0,first_order,3.6586809289016014e-11,0.01150202751159668,142,3.779999537140373e-6,0.0,4893,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,EXPFIT,2,0,0,first_order,0.2405105940297273,0.033876895904541016,502,2.747569878429239e-5,0.0,16265,9510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,FBRAIN3LS,6,0,0,max_time,0.39062830867462806,10.00083589553833,234,0.06259759936611844,0.0,7613,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,GAUSS1LS,8,0,0,max_eval,7339.973851733764,3.3367810249328613,1598,3276.1054111053404,0.0,50010,28674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,GAUSS2LS,8,0,0,max_eval,NaN,4.0954790115356445,127,NaN,0.0,50136,50308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,GAUSS3LS,8,0,0,max_eval,18848.901662522443,3.34073805809021,1598,9613.279366358202,0.0,50022,28684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,GAUSSIAN,3,0,0,first_order,1.1281217205838064e-8,0.011749029159545898,136,9.171629201842107e-7,0.0,4831,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,GBRAINLS,2,0,0,max_time,31.9739372745698,10.012267112731934,591,37.650653323735014,0.0,19197,11278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,GROWTHLS,3,0,0,first_order,3542.14903046,0.00011301040649414062,1,0.0,0.0,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,GULF,3,0,0,max_eval,6.110681805332747,1.5184900760650635,1602,0.19637949701223925,0.0,50037,28694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,HAHN1LS,7,0,0,first_order,55530.9534926475,0.002357959747314453,1,0.0004331288389300792,0.0,105,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,HAIRY,2,0,0,first_order,20.00000000000075,0.007575035095214844,199,3.405752475664121e-5,0.0,7237,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,HATFLDD,3,0,0,max_eval,1.3284302958724578e-5,0.13213396072387695,1600,0.00011074449505846001,0.0,50001,28673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
