id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.5838561058044434,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,BEALE,2,0,0,max_eval,1.762104980407674e-8,0.068695068359375,1358,0.0001238857475127454,0.0,50029,27801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0006570816040039062,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BRKMCC,2,0,0,first_order,0.16904267919922733,0.0016639232635498047,41,3.287427639009756e-6,0.0,1828,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BROWNBS,2,0,0,max_eval,1.4068346790967938e11,0.03838920593261719,1106,7.008957260364447e9,0.0,50041,26910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,CLIFF,2,0,0,first_order,11396.391743805923,7.581710815429688e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,CLUSTERLS,2,0,0,first_order,1.5993238731477052e-9,0.0028600692749023438,76,3.197084002153897e-6,0.0,3031,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,CUBE,2,0,0,max_eval,0.015467146560226566,0.05066990852355957,1359,0.14336931514349446,0.0,50028,27805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,DANIWOODLS,2,0,0,first_order,103.917818,3.0994415283203125e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,DANWOODLS,2,0,0,max_eval,NaN,0.09873294830322266,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,DENSCHNA,2,0,0,first_order,7.25457134952551e-11,0.005994081497192383,161,1.0840454832675127e-5,0.0,6158,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
