id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.6130771636962891,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910323316,0.0013720989227294922,12,6.267041631469223e-6,0.0,539,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,max_eval,0.009836003938036594,0.12589097023010254,1161,0.005265177482957756,0.0,50018,27547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,max_eval,0.0001574424795339198,0.06981396675109863,1178,0.011879217105661944,0.0,50013,27192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,max_eval,NaN,1.722580909729004,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BIGGS6,6,0,0,max_eval,0.08014290952332132,0.20614194869995117,1169,0.06659908622432148,0.0,50031,27348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOX3,3,0,0,max_eval,5.757798482044741e-7,0.12922310829162598,1181,3.748597472860147e-5,0.0,50044,27183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0006670951843261719,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BRKMCC,2,0,0,first_order,0.16904267919700608,0.0005800724029541016,11,1.4699332451959324e-6,0.0,564,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNBS,2,0,0,max_eval,159409.63574832553,0.03841996192932129,1032,4.479114362899432e7,0.0,50007,27413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BROWNDEN,4,0,0,max_eval,86745.86760584373,0.13591718673706055,1180,2669.5572895101404,0.0,50021,27176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,CERI651ALS,7,0,0,max_eval,383.11565086178473,0.9715499877929688,1024,64.67105336988725,0.0,50025,28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,CERI651BLS,7,0,0,max_eval,142.80802786649522,1.0109350681304932,1080,92509.81262256594,0.0,50001,27671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,CERI651CLS,7,0,0,max_eval,63.28735858028959,0.94482421875,1081,7047.386816527227,0.0,50004,27650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,CERI651DLS,7,0,0,max_eval,23.46610865587108,1.4596121311187744,1117,19.076092295729527,0.0,50024,27936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,CERI651ELS,7,0,0,max_eval,26.435161914001913,1.251626968383789,1078,2.322245669052626,0.0,50055,27971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,CHWIRUT1LS,3,0,0,first_order,315416.03676131926,0.013498067855834961,11,4.264923515351618,0.0,476,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,CHWIRUT2LS,3,0,0,first_order,90498.52596284074,0.0039010047912597656,12,1.6324997996236286,0.0,479,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CLIFF,2,0,0,first_order,11396.391743805923,8.106231689453125e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CLUSTERLS,2,0,0,first_order,1.4137939106569634e-9,0.0007970333099365234,17,2.7320428942558745e-6,0.0,502,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,COOLHANSLS,9,0,0,max_eval,0.9457135163791908,0.11461305618286133,1180,199.7903538143324,0.0,50039,27164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CUBE,2,0,0,max_eval,0.004835737573317257,0.049597978591918945,1148,0.2118643521472721,0.0,50028,27701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,DANIWOODLS,2,0,0,first_order,103.917818,2.8133392333984375e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
