id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.5614922046661377,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910323413,0.006151914596557617,101,7.852813609265035e-6,0.0,4096,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,max_eval,0.009693161666389963,0.09638810157775879,1357,0.005421311831584879,0.0,50030,27828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,max_eval,1.762104980407674e-8,0.054860830307006836,1358,0.0001238857475127454,0.0,50029,27801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,max_eval,NaN,1.281221866607666,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BIGGS6,6,0,0,max_eval,0.05970105302093012,0.16176986694335938,1359,0.05567909350873597,0.0,50030,27809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOX3,3,0,0,max_eval,5.465196325988711e-7,0.10091090202331543,1359,4.5654355136438215e-5,0.0,50024,27804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0006878376007080078,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BRKMCC,2,0,0,first_order,0.16904267919922733,0.0015289783477783203,41,3.287427639009756e-6,0.0,1828,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNBS,2,0,0,max_eval,1.4068346790967938e11,0.037049055099487305,1106,7.008957260364447e9,0.0,50041,26910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BROWNDEN,4,0,0,first_order,85822.20198875226,0.08828091621398926,801,1.9127533824160208,0.0,29916,16681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,CERI651ALS,7,0,0,max_eval,393.37292158615764,0.9283530712127686,1097,238498.77000797808,0.0,50005,27057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,CERI651BLS,7,0,0,max_eval,370.0177646258079,1.2094130516052246,1347,30288.198807175228,0.0,50005,27972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,CERI651CLS,7,0,0,max_eval,83.63011664740301,1.168639898300171,1098,146218.20172255032,0.0,50040,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,CERI651DLS,7,0,0,max_eval,23.470531459255714,1.2558050155639648,1345,37.5092203093601,0.0,50012,27981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,CERI651ELS,7,0,0,max_eval,26.624943434682763,1.0344321727752686,1098,1289.776292401378,0.0,50040,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,CHWIRUT1LS,3,0,0,first_order,315414.7930890908,0.026699066162109375,26,3.5655677391717755,0.0,1193,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,CHWIRUT2LS,3,0,0,first_order,90497.39306219165,0.008668184280395508,31,0.9913392520032971,0.0,1376,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CLIFF,2,0,0,first_order,11396.391743805923,7.700920104980469e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CLUSTERLS,2,0,0,first_order,1.5993238731477052e-9,0.002817869186401367,76,3.197084002153897e-6,0.0,3031,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,COOLHANSLS,9,0,0,max_eval,0.05378765294353957,0.12517690658569336,1358,13.031598356743116,0.0,50009,27796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CUBE,2,0,0,max_eval,0.015467146560226566,0.0487060546875,1359,0.14336931514349446,0.0,50028,27805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,DANIWOODLS,2,0,0,first_order,103.917818,2.7179718017578125e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,DANWOODLS,2,0,0,max_eval,NaN,0.08558201789855957,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,DENSCHNA,2,0,0,first_order,7.25457134952551e-11,0.016693115234375,161,1.0840454832675127e-5,0.0,6158,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,DENSCHNB,2,0,0,first_order,5.652278434044251e-12,0.0010068416595458984,41,4.88363905577531e-6,0.0,1315,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,DENSCHNC,2,0,0,first_order,0.1833627265214504,0.0053288936614990234,166,0.0013826294580245773,0.0,6379,3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,DENSCHND,3,0,0,first_order,8.539362633884263,0.011406898498535156,286,24.53351682373224,0.0,10969,6233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,DENSCHNE,3,0,0,first_order,9.378531157900747e-14,0.0021200180053710938,41,6.124881259560251e-7,0.0,2171,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,DENSCHNF,2,0,0,first_order,1.141975163152924e-9,0.0035741329193115234,101,0.0006383226133938089,0.0,3964,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,DEVGLA1,4,0,0,max_eval,NaN,0.29238200187683105,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,DEVGLA2,5,0,0,max_eval,NaN,0.3196258544921875,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
